group,current_high_count,mae,rmse,r2
B2,176,7.334066716302454,9.508248150148594,0.9572105102730522
B2,178,7.335675180730666,9.511141281495025,0.9571847143721219
B2,180,7.337418589477069,9.514550708990125,0.9571567434337556
B2,182,7.333714562552511,9.505428110801336,0.957246848034098
B2,184,7.3364001547041955,9.511242676343839,0.9571950907848089
B2,186,7.3376565115191665,9.513427733469067,0.957180573621565
B2,188,7.333352399185701,9.502029356667455,0.9572895804302146
B2,190,7.327485167660465,9.48900233139894,0.9574076766378099
B2,192,7.326028352204948,9.485502050561442,0.957436191275014
B2,194,7.322038325676685,9.478008463753799,0.9575014663531005
B2,196,7.319360618196126,9.472464617060826,0.9575521076772505
B2,198,7.318445844866503,9.47045427810645,0.9575733774959895
B2,200,7.3176545832578155,9.469201982150977,0.9575845565471817
B3,40,11.861394846661607,14.576104221817337,0.8996119812971461
B3,42,12.16502436289524,14.822223903715582,0.8961883219870795
B3,44,12.198458554129775,14.827198238663112,0.8961147645818965
B3,46,12.015473353093757,14.629470373735156,0.8988508979123111
B3,48,11.843719463188677,14.46534889418976,0.9010767305971206
B3,50,11.655516275454085,14.28714170930247,0.9035451686808049
B3,52,11.521930210920061,14.140049083998218,0.9055278559158382
B3,54,11.410021032398955,14.057403173588597,0.9066256841529917
B3,56,11.436271794754663,14.05347173369056,0.9066730235940985
B3,58,11.460070343430768,14.062913016531889,0.9065429918759648
B3,60,11.416347555592422,14.02164836057193,0.907099169283379
B3,62,11.339219348214105,13.955279553958798,0.9080093577651965
B3,64,11.236121952265833,13.870199729329087,0.9091072044723993
B3,66,11.175017311921412,13.82588722313377,0.9096609059119862
B3,68,11.09530484317037,13.763511418344375,0.9104796562671453
B3,70,10.975613678946116,13.644093101460944,0.9120452665517726
B3,72,10.850378886234044,13.535970450245339,0.9134408778521841
B3,74,10.723566644420096,13.438870788630563,0.9146816333933808
B3,76,10.631327536929353,13.372398110798809,0.9155164653960798
B3,78,10.575154577115596,13.299163210039225,0.91643115092531
B3,80,10.55929609867144,13.265218851576254,0.9168423993091617
B3,82,10.526046196187373,13.225593736972149,0.9173313267136457
B3,84,10.46454665302218,13.165957486202615,0.9180833180482619
B3,86,10.40986959134278,13.112132545636864,0.9187368986282225
B3,88,10.290453878874038,13.021407354876635,0.9198661124959289
B3,90,10.161102654648563,12.927214588330008,0.9210262690951604
B3,92,10.05526941884961,12.85120922221412,0.921940004104162
B3,94,9.978249215203984,12.798991737869944,0.9225736408250652
B3,96,9.863548012243525,12.720759239173915,0.9235193572899298
B3,98,9.801730202647699,12.669155519206146,0.924141219717546
B3,100,9.77473669095846,12.649444832157547,0.9243910080049245
B3,102,9.782259726623767,12.652379163081388,0.9243640352913014
B3,104,9.776033067226114,12.629371334089237,0.9246529803836065
B3,106,9.761112502769144,12.6107428989405,0.9248727851631118
B3,108,9.72465058361293,12.571415759594677,0.9253415212833727
B3,110,9.694703206516916,12.537967188319271,0.9257354516135002
B3,112,9.66088300158954,12.492135854341065,0.9262772224593195
B3,114,9.641271870296748,12.456187701404097,0.9266949379006599
B3,116,9.627281546945623,12.429962751480675,0.9270039812059891
B3,118,9.55498574566997,12.372639959043385,0.9276659382340584
B3,120,9.483540328405336,12.315853025841934,0.9283232049006438
B3,122,9.41745156842282,12.264254912124978,0.9289226751209334
B3,124,9.338819224349049,12.216185037297937,0.9294814829141196
B3,126,9.270033733911532,12.180936909744727,0.9298925632353848
B3,128,9.234894607287284,12.167835639199392,0.9300408133153317
B3,130,9.190012302767416,12.140639869104882,0.9303578205753732
B3,132,9.142330222200712,12.10060106347294,0.9308084244957048
B3,134,9.091443206347318,12.057799982307024,0.9313056069605583
B3,136,9.054774824255851,12.02560798008602,0.9316763934466256
B3,138,9.016119044982535,11.991883797510827,0.9320602026041961
B3,140,8.938223489988985,11.93146006799479,0.9327349700387296
B3,142,8.884365012580497,11.891673699910898,0.9331817485832066
B3,144,8.830211908819752,11.841847505410055,0.9337462118689631
B3,146,8.787807682497515,11.806780203630073,0.9341429643415875
B3,148,8.741499521696614,11.758651107993966,0.9346809450341012
B3,150,8.691912815522082,11.715495241467082,0.9351551771655547
B3,152,8.642437178473829,11.68104848084716,0.9355327228149151
B3,154,8.609699706906653,11.655834014164393,0.9358123701682646
B3,156,8.576758733285352,11.62805985838082,0.936116520401327
B3,158,8.559203444382565,11.613859970421366,0.9362736964046368
B3,160,8.530586198584821,11.589182099473335,0.9365481313209807
B3,162,8.528890225789155,11.580988185516754,0.9366376306708135
B3,164,8.512167369270855,11.565496334167424,0.9368108360712826
B3,166,8.4642419021858,11.532301782440705,0.9371768953810804
B3,168,8.427963387331712,11.505766276181944,0.9374787723972371
B3,170,8.353161114605967,11.44744464118995,0.9381179632057499
B3,172,8.297216043623562,11.408743584166999,0.9385377305563347
B3,174,8.250968725624798,11.376172024798002,0.9388905283059756
B3,176,8.194080343058667,11.332594725614179,0.9393605050524851
B3,178,8.164695634317752,11.314354238734381,0.939560665709714
B3,180,8.120411174933732,11.279834341412476,0.9399287828653426
B3,182,8.06717005852346,11.24249634222646,0.9403239200457969
B3,184,8.033832847535678,11.21006744035985,0.9406648840435793
B3,186,7.998147796113815,11.177894026073945,0.9410005113011142
B3,188,7.975583360372289,11.15149336089319,0.9412765643226543
B3,190,7.942991126802347,11.118922026552486,0.9416233568480141
B3,192,7.889058322375004,11.06413081393293,0.9422005260146167
B3,194,7.846055831537865,11.03210480967476,0.9425300332590576
B3,196,7.808288050023765,11.000175050907604,0.9428582413861747
B3,198,7.771788989778861,10.971500349025296,0.9431557009251671
B3,200,7.734540052645974,10.943298895718197,0.9434489300831099
B4,40,11.861394846661607,14.576104221817337,0.8996119812971461
B4,42,11.89417637535169,14.61396795149997,0.8990669450236333
B4,44,11.818187983702199,14.553677132180322,0.8999134150396824
B4,46,11.979878083985897,14.68648504048188,0.8980628567051555
B4,48,12.133181567327464,14.810850867659099,0.8963597557401954
B4,50,12.070415353098651,14.7556344349784,0.897032151065499
B4,52,12.036377129204812,14.717813336864566,0.8974391762365819
B4,54,12.019746936712409,14.7173068737514,0.897380288064582
B4,56,11.948299552247708,14.647386177626624,0.898371059223115
B4,58,11.921871597275103,14.61477626821324,0.8988852677273114
B4,60,11.951212629675878,14.637714376997636,0.8985795122696407
B4,62,11.899878705726866,14.595797034494634,0.8991047567489405
B4,64,11.868509783134117,14.572976869596426,0.8994190737855966
B4,66,11.8341370083591,14.54581578414514,0.8997862605015101
B4,68,11.840420784856764,14.55246247638334,0.8996628497922533
B4,70,11.86855720511407,14.570088991484258,0.8994029147940834
B4,72,11.877013714977856,14.571716383650989,0.8993704652545927
B4,74,11.842925228508918,14.534592913770638,0.8999124198889309
B4,76,11.810326642647395,14.505829671683875,0.9003413523470852
B4,78,11.744657930195004,14.450283910130661,0.9010407012699357
B4,80,11.752567664669078,14.457352677572027,0.900929016982853
B4,82,11.67192820102703,14.39533900829436,0.9018345055201962
B4,84,11.697350238132646,14.421676306022722,0.9014571894523302
B4,86,11.671811058475011,14.388816810347484,0.9019202744279126
B4,88,11.611407029358052,14.334825338231038,0.9026785409530742
