group,seed,current_high_count,mae,rmse,r2,rho
B2,342,96,7.337450290841164,9.629985342594818,0.956236221694837,1.3101749982091697
B2,342,98,7.341304944003659,9.637563917939822,0.9561673124314016,1.3097634440086177
B2,342,100,7.334239307984908,9.623637406483835,0.9562938994783178,1.3105227758641176
B2,342,102,7.323280940749105,9.60208098327348,0.956489478754798,1.3117256007982263
B2,342,104,7.31299328731459,9.581755736096529,0.9566734859740587,1.3128928834567326
B2,342,106,7.302716219436029,9.5614676700968,0.9568567677455647,1.3140933178685232
B2,342,108,7.296155202275252,9.548383782744605,0.9569747611317262,1.3148878739429892
B2,342,110,7.304693104967428,9.565370572927177,0.956821539218846,1.313859483036512
B2,342,112,7.298331198721317,9.552807204425386,0.9569348878164777,1.3146173721103267
B2,342,114,7.3023102232038735,9.560669068181934,0.9568639743440116,1.3141413409124656
B2,342,116,7.287905931927129,9.531659320907371,0.9571253507597359,1.315928872284364
B2,342,118,7.285373733149207,9.526573610120188,0.95717109093738,1.3162514320382317
B2,342,120,7.279382394737669,9.514199191906254,0.9572822827775794,1.3170487412481986
B2,342,122,7.283724083581101,9.523252970492406,0.9572009431365124,1.3164636252736515
B2,342,124,7.275156178439089,9.505424566123528,0.9573610406694207,1.3176253757304506
B2,342,126,7.265498048543862,9.484567078603115,0.9575479583241286,1.3190369383006557
B2,342,128,7.265139780995957,9.483783697404336,0.9575549707175509,1.3190911509289487
B2,342,130,7.270000506922159,9.494434269254299,0.9574595831192968,1.3183616855559834
B2,342,132,7.259406409773846,9.47039730592412,0.957674708745841,1.3200319973451657
B2,342,134,7.26285660117629,9.47862510750268,0.9576011330841845,1.319450435865523
B2,342,136,7.265277948358283,9.48408565638834,0.9575522678170283,1.319070243604521
B2,342,138,7.267453222035626,9.488865299652721,0.9575094727289195,1.3187410837238807
B2,342,140,7.273472900988566,9.501890962410137,0.9573927365034454,1.3178603641004834
B2,342,142,7.2727118623301825,9.500286207320203,0.9574071269967573,1.3179676230153965
B2,342,144,7.269814662060517,9.494030353020063,0.9574632025870826,1.3183890572840606
B2,342,146,7.262178856786432,9.477038832945006,0.9576153230358577,1.3195617307678331
B2,342,148,7.2665830933220485,9.486947608259353,0.9575266455903693,1.3188727505879108
B2,342,150,7.266216947423691,9.48614296117575,0.9575338501439993,1.3189281553590233
B2,342,152,7.263327466351269,9.479704612078415,0.957591475063819,1.319374917582814
B2,342,154,7.261555185674473,9.475563022323177,0.9576285227044752,1.319665625828679
B2,342,156,7.259263568762362,9.470044303818904,0.9576778639753374,1.3200571901016909
B2,342,158,7.263411245207705,9.479896052787552,0.9575897621834293,1.3193615436413257
B2,342,160,7.261022981390109,9.474288983477019,0.9576399160704999,1.3197555908560261
B2,342,162,7.256643501848344,9.463255380281344,0.9577385223520075,1.3205457092020219
B2,342,164,7.258935129131908,9.469220764958378,0.9576852245339718,1.3201160427719678
B2,342,166,7.259707201340528,9.471124781986825,0.9576682059946167,1.319980143278689
B2,342,168,7.262048673388009,9.47673037790244,0.957618082031533,1.3195834175380567
B2,342,170,7.2675962625425745,9.489181287764987,0.9575066427329958,1.3187194390008814
B2,342,172,7.270993273080037,9.496594690160189,0.9574402211099974,1.3182156639397424
B2,342,174,7.277424514356829,9.510115888263908,0.9573189420856317,1.3173158788625459
B2,342,176,7.278883513484357,9.513155744763754,0.957291652191613,1.3171168097314199
B2,342,178,7.277485882745356,9.510243397737229,0.9573177975621026,1.317307505621224
B2,342,180,7.277526926772744,9.510328695137416,0.957317031925078,1.3173019054815698
B2,342,182,7.276380144530148,9.5079506806928,0.9573383746205786,1.3174583750368398
B2,342,184,7.282495186187413,9.520713866923339,0.9572237623877345,1.3166267385514012
B2,342,186,7.295767552081635,9.547590261449098,0.9569819120853107,1.314936607229667
B2,342,188,7.305571482559617,9.567112352151462,0.9568058128666495,1.3137555846198108
B2,342,190,7.293325967929362,9.54260705448839,0.9570268055267629,1.3152441163384607
B2,342,192,7.290309028000188,9.53650664435968,0.9570817318826785,1.3156240951734364
B2,342,194,7.285609214675375,9.527049235369478,0.957166814264592,1.3162211422191783
B2,342,196,7.282976864231674,9.521717489477599,0.9572147434296516,1.316562175305521
B2,342,198,7.282873926286881,9.521502854050578,0.9572166723103019,1.3165759729197557
B2,342,200,7.2787480319118485,9.512872728375754,0.9572941933005494,1.3171352951426953
B1,342,40,11.99127757320449,14.738581298805025,0.8974879496666974,1.0
B1,342,42,12.106008480171125,14.844000745530092,0.8960162460153471,1.0
B1,342,44,11.986538759381382,14.703489998125976,0.8979755133879699,1.0
B1,342,46,11.690169235345701,14.405978942790917,0.9020624786663385,1.0
B1,342,48,11.469858610362554,14.202533362093856,0.9048091525104676,1.0
B1,342,50,11.171611899325258,13.92355590304541,0.9085120528393145,1.0
B1,342,52,10.932600838494167,13.68149789017563,0.9116653987843378,1.0
B1,342,54,10.880771669144647,13.63654607896795,0.9122449080069647,1.0
B1,342,56,10.662720224151805,13.397327005106938,0.9152967892666211,1.0
B1,342,58,10.422167128566288,13.19387650967118,0.917849845042483,1.0
B1,342,60,10.061159312960076,12.864211771273093,0.9219037970670225,1.0
