BHF,DART_MeanMAE,SF-Kriging_MeanMAE,Co-Kriging_MeanMAE,HierarchicalKriging_MeanMAE,DART_logMeanMAE,SF-Kriging_logMeanMAE,Co-Kriging_logMeanMAE,HierarchicalKriging_logMeanMAE
145,5.594924619,14.04099425,11.74350618,12.21574056,0.74779424,1.147397862,1.06979778,1.0869198
146,5.58809254,13.98626307,11.73442451,12.20584141,0.74726359,1.145701693,1.069461796,1.086567723
147,5.58809254,13.94469908,11.73560728,12.20566635,0.74726359,1.144409147,1.069505568,1.086561494
148,5.533584016,13.92979,11.73228387,12.20515529,0.743006508,1.143944569,1.069382562,1.086543309
149,5.533584016,13.8616914,11.73585898,12.20648664,0.743006508,1.141816226,1.069514882,1.08659068
150,5.519905579,13.85112512,11.73018424,12.19233785,0.741931649,1.141485052,1.069304834,1.086086988
151,5.519905579,13.76839746,11.72331808,12.17886705,0.741931649,1.138883394,1.069050549,1.085606889
152,5.503230617,13.71568517,11.69075608,12.15215826,0.740617713,1.137217508,1.067842599,1.084653417
153,5.503230617,13.63558478,11.67941578,12.14381493,0.740617713,1.134673768,1.067421119,1.08435514
154,5.49304217,13.58599987,11.6689023,12.13590677,0.739812933,1.133091606,1.067030004,1.084072232
155,5.49304217,13.55218922,11.65564404,12.12553634,0.739812933,1.132009457,1.066536276,1.083700957
156,5.482554155,13.50860185,11.68157772,12.15181198,0.73898293,1.130610402,1.067501503,1.084641041
157,5.482554155,13.49282764,11.67203057,12.14573575,0.73898293,1.130102973,1.067146416,1.084423828
158,5.46878122,13.49396896,11.67351232,12.14385997,0.73789055,1.130139707,1.067201546,1.084356751
159,5.46878122,13.42432665,11.66137088,12.13813884,0.73789055,1.127892511,1.066749608,1.084152101
160,5.449130337,13.39287707,11.6636274,12.13949809,0.736327196,1.126873882,1.066833638,1.084200731
161,5.449130337,13.36176659,11.66752749,12.1439561,0.736327196,1.125863881,1.066978833,1.084360189
162,5.436329641,13.30266393,11.6665327,12.14354849,0.735305783,1.123938619,1.066941803,1.084345611
163,5.436329641,13.26332997,11.66776957,12.14341216,0.735305783,1.122652574,1.066987843,1.084340736
164,5.415612678,13.25961554,11.66578183,12.13856316,0.733647596,1.122530932,1.06691385,1.084167282
165,5.415612678,13.26331698,11.66344374,12.13380988,0.733647596,1.122652149,1.066826799,1.083997186
166,5.395728058,13.2625151,11.65705929,12.1253848,0.732050053,1.122625891,1.066589005,1.08369553
167,5.395728058,13.20775979,11.66059746,12.12905761,0.732050053,1.120829162,1.066720803,1.083827059
168,5.367142768,13.1785522,11.65942608,12.12883501,0.729743148,1.119867701,1.066677173,1.083819088
169,5.367142768,13.16507162,11.63830441,12.11478264,0.729743148,1.119423226,1.065889713,1.083315627
170,5.346488023,13.13168517,11.6260842,12.10655023,0.728068598,1.118320462,1.065433464,1.083020408
171,5.346488023,13.06078248,11.62720544,12.08749995,0.728068598,1.115969197,1.065475346,1.082336485
172,5.339575219,13.02184091,11.62500829,12.08823937,0.727506709,1.114672385,1.065393271,1.082363051
173,5.339575219,12.98032666,11.61808145,12.08614539,0.727506709,1.113285622,1.065134417,1.082287814
174,5.318013044,12.95643056,11.60408555,12.07802193,0.725749398,1.112485372,1.064610922,1.081995814
175,5.318013044,12.90955118,11.59552319,12.07174174,0.725749398,1.110911144,1.064290349,1.081769936
176,5.315088385,12.87417281,11.5885989,12.07142895,0.725510491,1.109719334,1.064030932,1.081758683
177,5.315088385,12.83319741,11.57429387,12.0629302,0.725510491,1.108334875,1.063494505,1.081452815
178,5.301751007,12.80619494,11.58697229,12.0742627,0.724419328,1.107420108,1.063969969,1.081860621
179,5.301751007,12.7564483,11.57965222,12.07170173,0.724419328,1.105729773,1.063695516,1.081768496
180,5.269689169,12.73064941,11.57600166,12.06728198,0.721784999,1.104850558,1.063558581,1.081609461
181,5.269689169,12.69648336,11.58404348,12.07204578,0.721784999,1.103683448,1.063860179,1.081780874
182,5.261264662,12.68787588,11.59945095,12.08349924,0.721090149,1.103388922,1.064437433,1.082192719
183,5.261264662,12.65817302,11.58591634,12.07381975,0.721090149,1.102371028,1.063930388,1.081844688
184,5.24100336,12.64436528,11.58401143,12.07125143,0.719414438,1.101897033,1.063858977,1.081752296
185,5.24100336,12.61662105,11.57989388,12.06753542,0.719414438,1.100943059,1.06370458,1.081618582
186,5.219342139,12.5765484,11.5804715,12.06844925,0.717615767,1.099561467,1.063726242,1.081651468
187,5.219342139,12.55683056,11.58759524,12.07642686,0.717615767,1.098880034,1.063993317,1.081938455
188,5.18870073,12.53216292,11.59191301,12.08290115,0.715058622,1.098026032,1.064155113,1.082171223
189,5.18870073,12.51206149,11.59091416,12.08017305,0.715058622,1.09732887,1.06411769,1.082073156
190,5.166852685,12.48055711,11.58987205,12.06479695,0.713226079,1.096233972,1.064078641,1.081520017
